Name: FIRES_EXTINGUISHED, Hash: D1A40F3E
Name: NO_PHOTOS_TAKEN, Hash: 33145248
Name: LAP_DANCED_BOUGHT, Hash: 4371D5CF
Name: PROSTITUTES_FREQUENTED, Hash: 65D95F72
Name: BOUNTPLACED, Hash: 707D3A3D
Name: BOUNTSONU, Hash: F151D889
Name: HORDELVL, Hash: 520DA5EB
Name: KILLS_COP, Hash: F8BA6911
Name: KILLS_SWAT, Hash: A2DA7E18
Name: NO_TIMES_WANTED_LEVEL, Hash: 8A1AEB85
Name: STARS_ATTAINED, Hash: A3CF6F51
Name: STARS_EVADED, Hash: 1EB36910
Name: TOTAL_CHASE_TIME, Hash: 4E1AF0FE
Name: LAST_CHASE_TIME, Hash: A322F000
Name: LONGEST_CHASE_TIME, Hash: FF1EEB72
Name: TOTAL_TIME_MAX_STARS, Hash: 142304FA
Name: DB_KILLS, Hash: 0D4F63EB
Name: PASS_DB_KILLS, Hash: 8D840633
Name: TIRES_POPPED_BY_GUNSHOT, Hash: CCB58E85
Name: HIGHEST_SKITTLES, Hash: BB770E34
Name: NUMBER_STOLEN_CARS, Hash: 7A4365D9
Name: NUMBER_STOLEN_BIKES, Hash: 36793943
Name: NUMBER_STOLEN_HELIS, Hash: 36123F25
Name: NUMBER_STOLEN_PLANES, Hash: 3B81983B
Name: NUMBER_STOLEN_BOATS, Hash: D6517580
Name: NUMBER_STOLEN_QUADBIKES, Hash: 907B5565
Name: NUMBER_STOLEN_BICYCLES, Hash: D37C31FB
Name: NUMBER_STOLEN_COP_VEHICLE, Hash: 60A6D941
Name: TOTAL_NO_SHOPS_HELD_UP, Hash: 9329FBCE
Name: TIME_DRIVING_CAR, Hash: E2E63546
Name: DIST_CAR, Hash: 7B0CE44D
Name: TIME_DRIVING_BIKE, Hash: AE6A1EA3
Name: DIST_BIKE, Hash: 8A8FA61B
Name: TIME_DRIVING_HELI, Hash: E949DD5A
Name: DIST_HELI, Hash: 7C6D7576
Name: TIME_DRIVING_PLANE, Hash: 20D7F7BD
Name: DIST_PLANE, Hash: BDCDF1DE
Name: TIME_DRIVING_BOAT, Hash: 5A133677
Name: DIST_BOAT, Hash: 44260143
Name: TIME_DRIVING_QUADBIKE, Hash: 9235E722
Name: DIST_QUADBIKE, Hash: CF0AC264
Name: TIME_DRIVING_BICYCLE, Hash: C4337B90
Name: DIST_BICYCLE, Hash: 0DC59003
Name: FASTEST_SPEED, Hash: EC71E842
Name: TOP_SPEED_CAR, Hash: F20E74EF
Name: LONGEST_STOPPIE_DIST, Hash: 5386105F
Name: LONGEST_WHEELIE_DIST, Hash: 84C83F87
Name: LONGEST_DRIVE_NOCRASH, Hash: 668C9A20
Name: NUMBER_CRASHES_CARS, Hash: 63B61B53
Name: NUMBER_CRASHES_BIKES, Hash: CACB1FD0
Name: NUMBER_CRASHES_QUADBIKES, Hash: B6501DFF
Name: BAILED_FROM_VEHICLE, Hash: 7197CA4E
Name: FARTHEST_JUMP_DIST, Hash: 6FFA254F
Name: HIGHEST_JUMP_REACHED, Hash: 7F024214
Name: MOST_FLIPS_IN_ONE_JUMP, Hash: C97CFF14
Name: MOST_SPINS_IN_ONE_JUMP, Hash: 1FB0A185
Name: USJS_FOUND, Hash: 81170035
Name: USJS_COMPLETED, Hash: 81A82B6F
Name: NUMBER_NEAR_MISS, Hash: AF14C2B3
Name: CARS_COPS_EXPLODED, Hash: BE9CEAA0
Name: CARS_EXPLODED, Hash: 559063EC
Name: BIKES_EXPLODED, Hash: 9EA22BB2
Name: HELIS_EXPLODED, Hash: 68433986
Name: PLANES_EXPLODED, Hash: C37CA764
Name: BOATS_EXPLODED, Hash: 065E069C
Name: QUADBIKE_EXPLODED, Hash: 0DE8630E
Name: NO_CARS_REPAIR, Hash: 26F503A6
Name: VEHICLES_SPRAYED, Hash: 40551162
Name: VEHEXPORTED, Hash: A777DA2B
Name: MONEY_SPENT_WEAPON_ARMOR, Hash: A1289320
Name: MONEY_SPENT_VEH_MAINTENANCE, Hash: EB26A0CA
Name: MONEY_SPENT_STYLE_ENT, Hash: 7F34C7A9
Name: MONEY_SPENT_PROPERTY_UTIL, Hash: EA2C332A
Name: MONEY_SPENT_JOB_ACTIVITY, Hash: D80E609F
Name: MONEY_SPENT_BETTING, Hash: 14FBC641
Name: MONEY_SPENT_CONTACT_SERVICE, Hash: 22BD1A13
Name: MONEY_SPENT_HEALTHCARE, Hash: 427D13A6
Name: MONEY_SPENT_DROPPED_STOLEN, Hash: 965E5864
Name: MONEY_SPENT_SHARED, Hash: 0F79B9C5
Name: MONEY_SPENT_JOBSHARED, Hash: 6D714C25
Name: MONEY_EARN_JOBS, Hash: 80803054
Name: MONEY_EARN_SELLING_VEH, Hash: 7A4F498A
Name: MONEY_EARN_BETTING, Hash: 515172E3
Name: MONEY_EARN_GOOD_SPORT, Hash: E5E6DC23
Name: MONEY_EARN_PICKED_UP, Hash: AC697119
Name: MONEY_EARN_SHARED, Hash: 5E9ACD79
Name: MONEY_EARN_JOBSHARED, Hash: 49F703DA
Name: SHOTS, Hash: 30BDAE73
Name: HITS_PEDS_VEHICLES, Hash: 68D2C190
Name: WEAPON_ACCURACY, Hash: 9415C796
Name: KILLS, Hash: D5504ACB
Name: HEADSHOTS, Hash: E382358D
Name: KILLS_ARMED, Hash: 70EA3BC0
Name: KILLS_IN_FREE_AIM, Hash: B54C2D73
Name: KILLS_STEALTH, Hash: 0D099DE5
Name: SUCCESSFUL_COUNTERS, Hash: E3F03D7D
Name: KILLS_PLAYERS, Hash: B34BAB75
Name: PLAYER_HEADSHOTS, Hash: B5888177
Name: HORDKILLS, Hash: 158C07D4
Name: GHKILLS, Hash: DDA2B85E
Name: DM_HIGHEST_KILLSTREAK, Hash: 91B986D5
Name: ARCHENEMY, Hash: 5CA99A2A
Name: ARCHENEMY_KILLS, Hash: D48CF5F4
Name: BIGGEST_VICTIM, Hash: 805231EB
Name: BIGGEST_VICTIM_KILLS, Hash: 204C4316
Name: PISTOL_KILLS, Hash: 9061DA13
Name: CMBTPISTOL_KILLS, Hash: A61D19E1
Name: PISTOL50_KILLS, Hash: C5F137C9
Name: APPISTOL_KILLS, Hash: 15626E7A
Name: MICROSMG_KILLS, Hash: F4FD1D84
Name: SMG_KILLS, Hash: 482A6831
Name: ASLTSMG_KILLS, Hash: 6F9DE730
Name: ASLTRIFLE_KILLS, Hash: 15C259BE
Name: CRBNRIFLE_KILLS, Hash: 2897069F
Name: ADVRIFLE_KILLS, Hash: D1209C6B
Name: MG_KILLS, Hash: A711579A
Name: CMBTMG_KILLS, Hash: A569E18E
Name: PUMP_KILLS, Hash: A4D3A192
Name: SAWNOFF_KILLS, Hash: 1E4E5C5D
Name: ASLTSHTGN_KILLS, Hash: C29A7122
Name: BULLPUP_KILLS, Hash: D55DED0D
Name: SNIPERRFL_KILLS, Hash: 332E6695
Name: HVYSNIPER_KILLS, Hash: 33F0BC5A
Name: GRNLAUNCH_KILLS, Hash: A7EA0267
Name: RPG_KILLS, Hash: E833F2F9
Name: MINIGUNS_KILLS, Hash: 07A92417
Name: GRENADE_KILLS, Hash: 81939D7A
Name: SMKGRENADE_KILLS, Hash: 571CFF12
Name: STKYBMB_KILLS, Hash: 0DE408B0
Name: MOLOTOV_KILLS, Hash: 1B6A81D1
Name: KNIFE_KILLS, Hash: EB2C5266
Name: NIGHTSTICK_KILLS, Hash: CD00FD13
Name: CROWBAR_KILLS, Hash: 844E99F0
Name: HAMMER_KILLS, Hash: DBA2E97F
Name: BAT_KILLS, Hash: 0179A258
Name: GCLUB_KILLS, Hash: 8DE0655B
Name: UNARMED_KILLS, Hash: 8EB7032C
Name: RHINO_ROCKET_KILLS, Hash: EFE414FD
Name: BUZZARD_BULLET_KILLS, Hash: 394E19F0
Name: BUZZARD_ROCKET_KILLS, Hash: C3CB47E5
Name: LAZER_BULLET_KILLS, Hash: 034144F7
Name: LAZER_ROCKET_KILLS, Hash: 993C22AA
Name: ANNIHL_BULLET_KILLS, Hash: A8D98BA2
